S2K_item_1,S2K_item_2,S2K_item_3,S2K_item_4,S2K_item_5,S2K_item_6,S2K_item_7,S2K_item_8,S2K_item_9,S2K_item_10,S2K_item_11,S2K_item_12,S2K_item_13,S2K_item_14,S2K_item_15,S2K_item_16,S2K_item_17,S2K_item_18,S2K_item_19,S2K_item_20,S2K_item_21,S2K_item_22,S2K_item_23,S2K_item_24
7821,7830,7836,7823,7815,7806,7824,7812,7136,7831,7791,7783,5374,7811,7431,7593,7754,7811,7800,5200,7613,7813,7739,7791
15,6,0,13,21,30,12,24,700,5,45,53,2462,25,405,243,82,25,36,2636,223,23,97,45
